H:B 1:1;SPE 1;SPE 2;SPE 3;H:B 1:2;SPE 1;SPE 2;SPE3;H:B 2:1;SPE 1;SPE 2;SPE 3;H:B 1:3;SPE 1;SPE 2;SPE3;H:B 3:1;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
0.369728;62.7878;67.3463;57.8191;0.369728;41.3205;45.7456;53.9519;0.369728;54.0568;44.8873;52.2353;0.369728;48.2728;35.093;34.2061;0.369728;34.5828;39.1509;45.2783
0.379728;59.5644;64.0514;54.5003;0.379728;38.4976;42.9799;50.9622;0.379728;51.3484;42.3743;49.5221;0.379728;46.2462;33.7244;32.766;0.379728;32.9281;37.1815;42.813
0.389729;56.298;60.6611;51.0146;0.389729;35.8798;40.2953;47.9819;0.389729;48.8116;39.9806;46.9329;0.389729;44.1815;32.4704;31.4452;0.389729;31.2878;35.2742;40.6577
0.399728;52.984;57.1086;47.7244;0.399728;33.4431;37.7013;45.1161;0.399728;46.3893;37.7776;44.3484;0.399728;42.2694;31.2926;30.2053;0.399728;29.9145;33.4765;38.6788
0.409728;49.6032;53.5991;44.5582;0.409728;31.1304;35.2599;42.3266;0.409728;44.1386;35.689;41.8545;0.409728;40.4431;30.2769;29.0514;0.409728;28.4649;31.7456;36.7428
0.419728;46.3511;50.1801;41.659;0.419728;28.9846;32.9663;39.7278;0.419728;41.9499;33.8055;39.5657;0.419728;38.6502;29.3764;28.1156;0.419728;27.268;30.2053;35.1454
0.429729;43.1038;46.9043;38.8886;0.429729;27.0248;30.8062;37.2721;0.429729;39.9329;32.1032;37.3341;0.429729;36.9956;28.529;27.1638;0.429729;26.157;28.9036;33.5289
0.439729;40.095;43.6665;36.3947;0.439729;25.1366;28.7939;34.9404;0.439729;38.0637;30.5201;35.3552;0.439729;35.3457;27.7313;26.4152;0.439729;25.1842;27.6304;32.0508
0.449728;37.3198;40.7626;34.2204;0.449728;23.2578;26.9867;32.8137;0.449728;36.3137;29.0466;33.548;0.449728;33.9772;27.0451;25.7619;0.449728;24.4785;26.5718;30.7585
0.459728;34.6686;38.0064;32.0937;0.459728;21.8893;25.2892;30.7442;0.459728;34.6924;27.7306;31.9983;0.459728;32.6754;26.4228;25.1411;0.459728;23.5964;25.6325;29.4853
0.469728;32.5085;35.5698;30.2959;0.469728;20.6638;23.7967;28.9036;0.469728;33.2476;26.5337;30.5964;0.469728;31.5215;25.8287;24.7057;0.469728;22.9622;24.798;28.3361
0.479729;30.1577;33.2428;28.484;0.479729;19.5576;22.4281;27.268;0.479729;31.8552;25.4608;29.3709;0.479729;30.4438;25.3762;24.2165;0.479729;22.4837;24.0446;27.2966
0.489729;28.1931;31.1113;27.0725;0.489729;18.596;21.1979;25.6706;0.489729;30.5773;24.4452;28.1406;0.489729;29.4615;24.8574;23.9447;0.489729;21.972;23.42;26.2238
0.499728;26.3859;29.2088;25.6754;0.499728;17.7701;20.0723;24.3021;0.499728;29.3995;23.5249;27.1584;0.499728;28.5984;24.4497;23.4354;0.499728;21.469;22.967;25.3988
0.50965;24.8171;27.5351;24.4928;0.50965;17.1149;19.0776;23.0194;0.50965;28.441;22.7428;26.3;0.50965;27.8831;24.0978;23.0039;0.50965;21.1261;22.6458;24.6264
0.51965;23.4676;25.9567;23.439;0.51965;16.5418;18.1673;21.9179;0.51965;27.4063;21.9751;25.4513;0.51965;27.109;23.7192;22.7917;0.51965;20.8171;22.2371;24.0828
0.529651;22.3375;24.6645;22.5092;0.529651;16.0649;17.3605;20.969;0.529651;26.5289;21.3648;24.6693;0.529651;26.5282;23.4216;22.8022;0.529651;20.5291;21.9806;23.5439
0.539651;21.2551;23.358;21.6938;0.539651;15.6925;16.6391;20.1023;0.539651;25.7421;20.783;23.9874;0.539651;25.9326;23.1813;22.7338;0.539651;20.1019;21.7207;23.0623
0.54965;20.4016;22.3232;21.0835;0.54965;15.3816;15.9763;19.3761;0.54965;25.0269;20.2919;23.4533;0.54965;25.4439;22.9853;22.641;0.54965;19.9669;21.6216;22.6713
0.55965;19.6482;21.4315;20.4922;0.55965;15.1589;15.4403;18.7624;0.55965;24.3832;19.8532;22.9956;0.55965;25.0133;22.7855;22.7002;0.55965;19.8086;21.5276;22.328
0.569651;19.0283;20.6591;20.0153;0.569651;14.9534;14.8728;18.2055;0.569651;23.811;19.4717;22.5712;0.569651;24.7921;22.6043;22.7068;0.569651;19.7118;21.489;22.061
0.579651;18.4083;19.9438;19.5957;0.579651;14.7775;14.4904;17.7496;0.579651;23.3818;19.0855;22.2946;0.579651;24.4993;22.5185;22.7497;0.579651;19.5435;21.3517;21.8702
0.589651;17.9792;19.405;19.2619;0.589651;14.7112;14.1471;17.3619;0.589651;23.0099;18.8089;22.0037;0.589651;24.279;22.4179;22.838;0.589651;19.6412;21.2644;21.689
0.59965;17.5643;18.9425;18.9997;0.59965;14.5572;13.8577;17.0286;0.59965;22.6856;18.5562;21.8798;0.59965;24.063;22.2977;22.7211;0.59965;19.6069;21.2849;21.6318
0.609651;17.2639;18.5228;18.7994;0.609651;14.5224;13.6512;16.8179;0.609651;22.4043;18.4131;21.6318;0.609651;23.9409;22.2405;22.8284;0.609651;19.6498;21.4189;21.6127
0.619651;16.9445;18.1461;18.6229;0.619651;14.5295;13.4099;16.5485;0.619651;22.0896;18.2128;21.4554;0.619651;23.7554;22.1771;22.9643;0.619651;19.6846;21.3383;21.4983
0.629651;16.7442;17.8981;18.4989;0.629651;14.4547;13.2692;16.3787;0.629651;21.9847;18.1318;21.3743;0.629651;23.6486;22.1117;22.96;0.629651;19.8434;21.4046;21.36
0.639651;16.5678;17.6692;18.4131;0.639651;14.3984;13.0442;16.2256;0.639651;21.751;18.0555;21.1931;0.639651;23.5203;21.9954;22.9734;0.639651;19.9025;21.4318;21.2885
0.649572;16.3818;17.5548;18.3511;0.649572;14.4308;12.9354;16.0869;0.649572;21.6318;17.9887;21.0596;0.649572;23.497;22.0312;23.0368;0.649572;19.9869;21.519;21.2646
0.659573;16.2721;17.3927;18.2748;0.659573;14.2983;12.8406;15.9968;0.659573;21.546;17.9363;20.8498;0.659573;23.4521;22.0297;23.0082;0.659573;19.9998;21.4628;21.2551
0.669573;16.1338;17.2496;18.2891;0.669573;14.2901;12.7304;15.9195;0.669573;21.4697;17.9267;20.8212;0.669573;23.4553;22.076;23.1074;0.669573;20.0651;21.6001;21.2503
