2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
0.409728;47.8484;45.1638;51.4056;0.409728;15.3397;18.2045;16.054;0.409728;5.61502;5.36468;5.30412;0.409728;1.73391;7.26965;6.16529;0.409728;0.86172;1.71946;1.11845
0.419728;42.5078;40.5957;46.8757;0.419728;13.5491;16.2705;14.2348;0.419728;4.93981;4.74288;4.68089;0.419728;1.73453;7.37217;6.27878;0.419728;0.863293;1.7329;1.13175
0.429729;37.4295;36.1134;42.5126;0.429729;11.8816;14.469;12.5463;0.429729;4.33184;4.17782;4.17305;0.429729;1.74101;7.46611;6.37558;0.429729;0.863579;1.74702;1.13595
0.439729;32.8471;31.9172;38.2973;0.439729;10.3953;12.8043;11.1535;0.439729;3.79111;3.67524;3.67238;0.439729;1.75274;7.55718;6.44662;0.439729;0.875214;1.77987;1.14491
0.449728;28.6938;28.1168;34.4206;0.449728;9.0454;11.2794;9.61188;0.449728;3.31904;3.24418;3.24131;0.449728;1.76414;7.62871;6.55439;0.449728;0.891522;1.80362;1.17829
0.459728;24.674;24.6168;30.4676;0.459728;7.83804;9.88368;8.19949;0.459728;2.91039;2.86413;2.89131;0.459728;1.76914;7.71406;6.6345;0.459728;0.918034;1.83657;1.21315
0.469728;21.5269;21.4363;26.9247;0.469728;6.78756;8.63341;7.01788;0.469728;2.56086;2.53225;2.60521;0.469728;1.78011;7.77414;6.70602;0.469728;0.957517;1.8679;1.25902
0.479729;18.704;18.5991;23.7299;0.479729;5.8501;7.52476;6.05276;0.479729;2.2533;2.25092;2.30957;0.479729;1.7814;7.82135;6.81045;0.479729;1.00191;1.91005;1.30976
0.489729;16.1863;16.0528;20.9023;0.489729;5.04663;6.55487;5.24356;0.489729;2.0063;2.01775;2.10215;0.489729;1.80486;7.85807;6.8362;0.489729;1.06271;1.95015;1.36226
0.499728;14.0071;13.7735;18.3082;0.499728;4.36665;5.71992;4.55501;0.499728;1.79697;1.82128;1.90998;0.499728;1.83204;7.92768;6.9454;0.499728;1.12818;1.99707;1.42038
0.50965;12.1522;11.9472;15.924;0.50965;3.79349;4.99703;3.96706;0.50965;1.62197;1.66154;1.76025;0.50965;1.85555;7.9706;6.95112;0.50965;1.20085;2.03598;1.47055
0.51965;10.4213;10.3498;13.8879;0.51965;3.32428;4.39336;3.47592;0.51965;1.48225;1.539;1.64533;0.51965;1.87801;8.02448;6.99642;0.51965;1.28215;2.08128;1.53425
0.529651;9.21016;8.81438;11.9997;0.529651;2.93327;3.88028;3.15644;0.529651;1.36781;1.43362;1.54281;0.529651;1.95149;8.07217;7.0422;0.529651;1.37575;2.13245;1.61489
0.539651;8.1182;7.70335;10.5978;0.539651;2.61141;3.45208;2.77782;0.539651;1.27912;1.35732;1.49751;0.539651;1.98253;8.10411;7.08321;0.539651;1.47327;2.19019;1.69543
0.54965;7.11207;6.72584;9.28645;0.54965;2.35821;3.10303;2.4984;0.54965;1.21379;1.31011;1.4298;0.54965;2.02688;8.13797;7.05841;0.54965;1.59057;2.24656;1.79847
0.55965;6.49219;5.94854;8.13251;0.55965;2.16223;2.81931;2.28764;0.55965;1.16754;1.28055;1.40691;0.55965;2.03336;8.19806;7.12231;0.55965;1.71893;2.31102;1.91487
0.569651;5.88179;5.30005;7.12638;0.569651;2.00773;2.59043;2.13409;0.569651;1.14036;1.27626;1.42837;0.569651;2.09883;8.24812;7.13041;0.569651;1.85903;2.38083;2.04132
0.579651;5.40972;4.7946;6.46358;0.579651;1.90474;2.42067;2.03491;0.579651;1.13464;1.28913;1.41025;0.579651;2.16916;8.31917;7.1595;0.579651;2.03241;2.47468;2.21494
0.589651;5.03302;4.35591;5.80072;0.589651;1.83607;2.29336;2.00058;0.589651;1.14084;1.31822;1.43838;0.589651;2.25924;8.40453;7.23198;0.589651;2.23673;2.53929;2.41288
0.59965;4.74691;4.03166;5.28097;0.59965;1.80126;2.20943;1.92858;0.59965;1.16182;1.37067;1.50133;0.59965;2.38884;8.44363;7.17857;0.59965;2.48235;2.64138;2.63804
0.609651;4.53711;3.79324;4.89473;0.609651;1.79744;2.1608;1.92762;0.609651;1.19853;1.43886;1.55044;0.609651;2.52179;8.51992;7.13614;0.609651;2.77346;2.76674;2.95485
0.619651;4.42266;3.58343;4.56572;0.619651;1.82319;2.14554;1.95194;0.619651;1.2486;1.52421;1.63675;0.619651;2.71519;8.611;7.16284;0.619651;3.13648;2.95995;3.33833
0.629651;4.20332;3.49283;4.33207;0.629651;1.88137;2.16604;2.01107;0.629651;1.3125;1.63055;1.73498;0.629651;2.95757;8.70636;7.18859;0.629651;3.61165;3.26055;3.8206
0.639651;4.21286;3.407;4.14133;0.639651;1.97435;2.22326;2.0907;0.639651;1.39642;1.76692;1.86897;0.639651;3.24982;8.8332;7.21052;0.639651;4.18305;3.7084;4.45742
