2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
0.749573;7.74696;10.4921;9.80882;0.749573;13.5954;7.21195;10.6361;0.749573;18.5164;7.16379;20.5377;0.749573;21.7112;23.7134;27.901;0.749573;24.5102;32.0128;27.1457
0.759573;8.36257;11.9622;11.164;0.759573;16.2395;8.39356;12.7705;0.759573;22.6844;8.61004;24.433;0.759573;25.4143;27.666;32.4291;0.759573;27.9225;36.5323;30.4645
0.769573;9.20752;13.8624;12.9059;0.769573;19.3065;9.95282;15.3854;0.769573;25.8358;10.505;28.8633;0.769573;29.2643;31.6528;36.9624;0.769573;31.3577;40.9516;33.594
0.779573;10.3362;16.2838;15.0989;0.779573;22.7793;11.9923;18.6027;0.779573;29.5747;12.9369;33.6174;0.779573;33.1038;35.6954;41.4461;0.779573;34.6469;45.0868;36.6849
0.789495;11.8344;19.2922;17.804;0.789495;26.6698;14.56;22.3707;0.789495;33.5492;15.9214;37.9733;0.789495;37.0072;39.8459;45.8865;0.789495;37.9137;49.236;39.709
0.799496;13.7938;22.9343;21.0059;0.799496;30.7578;17.7558;26.8272;0.799496;37.3601;19.4419;42.3869;0.799496;40.9693;43.7717;50.1658;0.799496;41.006;53.5085;42.8161
0.809495;16.2252;27.079;24.6528;0.809495;34.5315;21.5395;31.9246;0.809495;41.1433;23.4078;46.6637;0.809495;44.8984;47.6386;54.4526;0.809495;43.9953;57.5092;45.7694
0.819495;19.244;32.1053;28.7374;0.819495;38.0801;25.9231;36.3125;0.819495;44.8894;27.7127;50.8477;0.819495;48.7496;51.4056;58.7251;0.819495;46.909;61.2953;48.5875
0.829495;22.8427;37.3777;33.1744;0.829495;42.0832;30.9271;40.5993;0.829495;48.516;32.2141;54.548;0.829495;52.531;54.9676;62.7115;0.829495;49.7748;64.8096;51.0718
0.839496;27.0427;43.0083;37.8336;0.839496;45.9029;36.8179;45.5517;0.839496;51.9874;36.7106;58.0814;0.839496;56.298;58.4629;66.1972;0.839496;52.5214;68.3382;54.0425
0.849496;31.6905;48.7973;42.57;0.849496;49.1645;43.4326;50.5616;0.849496;55.3109;41.1495;61.3668;0.849496;60.2081;62.0248;69.4302;0.849496;55.0057;71.5855;56.2312
0.859495;36.8003;54.9056;47.5862;0.859495;52.1113;47.0378;54.8007;0.859495;58.6917;45.5388;64.2469;0.859495;63.8368;65.1386;72.2864;0.859495;57.0228;74.2748;58.0099
0.869495;42.2191;61.5861;52.8266;0.869495;54.8198;50.4901;58.811;0.869495;61.8436;49.8368;66.9458;0.869495;67.3225;67.8089;74.4751;0.869495;59.2115;76.1822;59.0351
0.879496;48.1154;68.1045;58.5487;0.879496;57.4949;55.6924;62.2871;0.879496;64.6045;54.0521;69.5351;0.879496;69.969;70.1073;76.516;0.879496;61.4002;77.7176;59.8552
0.889496;54.4049;70.6747;63.3266;0.889496;59.8409;60.6277;65.9635;0.889496;67.4799;57.7524;71.5616;0.889496;71.1658;70.2789;77.8702;0.889496;62.5255;78.3232;60.3416
0.899496;61.3811;73.7789;64.2135;0.899496;62.0153;64.781;69.4445;0.899496;70.8178;61.6434;73.1638;0.899496;71.1325;71.2183;78.6999;0.899496;63.9799;78.9478;60.0364
