2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
0.439729;85.9288;97.3586;98.3743;0.439729;44.3532;44.172;44.5392;0.439729;15.8904;17.7077;15.8985;0.439729;1.15321;1.2359;2.63904;0.439729;0.305534;1.83142;1.06905
0.449728;85.1897;95.0221;96.1141;0.449728;41.8545;41.0391;41.907;0.449728;14.6225;16.4412;14.5591;0.449728;1.06647;1.1462;2.58659;0.449728;0.320078;1.86432;1.09055
0.459728;84.0834;91.8797;93.2291;0.459728;38.6025;38.1972;39.1842;0.459728;13.3894;15.1628;13.387;0.459728;0.989608;1.06652;2.53905;0.459728;0.342394;1.89217;1.1204
0.469728;82.1808;88.3606;89.8627;0.469728;35.7796;35.5603;36.4853;0.469728;12.2135;13.8467;12.2602;0.469728;0.921563;0.996331;2.50343;0.469728;0.364233;1.91787;1.11473
0.479729;79.7155;84.3314;86.0098;0.479729;32.5324;32.2844;33.7817;0.479729;11.102;12.676;11.132;0.479729;0.86172;0.935677;2.47892;0.479729;0.390555;1.94639;1.1287
0.489729;76.7544;79.9969;81.8566;0.489729;29.9002;29.328;31.1352;0.489729;10.0382;11.5688;10.1221;0.489729;0.812558;0.881747;2.46466;0.489729;0.424839;1.94214;1.14305
0.499728;73.2735;75.6243;77.379;0.499728;27.2346;26.6624;28.5507;0.499728;9.09356;10.5274;9.14887;0.499728;0.772598;0.840977;2.45102;0.499728;0.468852;1.96818;1.17305
0.50965;69.4349;70.4935;72.706;0.50965;24.4499;23.9635;26.0521;0.50965;8.18375;9.58327;8.21904;0.50965;0.741222;0.806692;2.44902;0.50965;0.519111;2.01157;1.19308
0.51965;65.2816;65.7918;67.8375;0.51965;22.3592;21.8576;23.6917;0.51965;7.33927;8.62673;7.3941;0.51965;0.720289;0.781038;2.44964;0.51965;0.581529;2.04318;1.22936
0.529651;60.8852;60.9567;63.1406;0.529651;19.8477;19.5611;21.4647;0.529651;6.58348;7.7956;6.78184;0.529651;0.705746;0.768259;2.44001;0.529651;0.635221;2.05615;1.26851
0.539651;56.3076;56.2407;58.4772;0.539651;17.7472;17.5036;19.3771;0.539651;5.92878;7.0503;5.94738;0.539651;0.703266;0.76268;2.45069;0.539651;0.711515;2.08691;1.28253
0.54965;51.8014;51.7489;53.971;0.54965;15.8275;15.7288;17.4769;0.54965;5.34942;6.2969;5.43572;0.54965;0.70999;0.766781;2.46137;0.54965;0.794342;2.09926;1.2955
0.55965;47.0044;47.5671;49.6222;0.55965;14.3908;13.9821;15.7326;0.55965;4.79199;5.70467;4.92599;0.55965;0.724867;0.780037;2.47072;0.55965;0.880793;2.0994;1.34008
0.569651;42.689;43.5521;45.5215;0.569651;12.9755;12.5592;14.1619;0.569651;4.36331;5.18395;4.3967;0.569651;0.747946;0.801352;2.48998;0.569651;0.973395;2.09144;1.3789
0.579651;38.3259;39.9424;41.7067;0.579651;11.5159;11.2474;12.7848;0.579651;3.97612;4.70855;4.09581;0.579651;0.780514;0.833348;2.51149;0.579651;1.0783;2.10384;1.44966
0.589651;34.4683;36.5616;38.1447;0.589651;10.3057;10.0434;11.5359;0.589651;3.6452;4.28893;3.80637;0.589651;0.817135;0.873116;2.51544;0.589651;1.19479;2.1148;1.53058
0.59965;30.8014;33.4813;34.8164;0.59965;9.29287;9.03157;10.4425;0.59965;3.38818;3.96182;3.45351;0.59965;0.861958;0.922183;2.51461;0.59965;1.32907;2.12234;1.61904
0.609651;27.3777;30.7156;31.7313;0.609651;8.22142;8.10602;9.48218;0.609651;3.17265;3.62565;3.29377;0.609651;0.913456;0.975017;2.50957;0.609651;1.48147;2.18862;1.72623
0.619651;24.4785;28.1693;28.9179;0.619651;7.44036;7.29397;8.65296;0.619651;3.00766;3.57844;3.08634;0.619651;0.974063;1.03948;2.50603;0.619651;1.66371;2.2765;1.8791
0.629651;21.7939;25.8614;26.2953;0.629651;6.67312;6.64117;7.93341;0.629651;2.87319;3.17265;2.97047;0.629651;1.04444;1.11521;2.50221;0.629651;1.88421;2.4773;2.06416
0.639651;19.3811;23.8729;23.9826;0.639651;6.16767;6.15528;7.33259;0.639651;2.79118;3.00671;2.78927;0.639651;1.12722;1.20156;2.48695;0.639651;2.15677;2.70198;2.33787
0.649572;17.2925;22.0991;21.9322;0.649572;5.5969;5.6608;6.84812;0.649572;2.7392;2.85269;2.78736;0.649572;1.22078;1.30075;2.48695;0.649572;2.49418;3.08818;2.84575
0.659573;15.4758;20.578;20.1441;0.659573;5.17489;5.29506;6.48096;0.659573;2.78259;2.78927;2.80214;0.659573;1.33036;1.41705;2.51127;0.659573;2.92267;3.51352;3.14006
0.669573;13.8784;19.2667;18.5848;0.669573;4.80058;5.03327;6.20391;0.669573;2.85126;2.74445;2.85984;0.669573;1.46449;1.55609;2.61141;0.669573;3.47971;4.06231;3.694
0.679573;12.5289;18.1747;17.2592;0.679573;4.74288;4.83109;6.03178;0.679573;2.98477;2.77973;3.04819;0.679573;1.62485;1.72084;2.74015;0.679573;4.21457;4.98962;4.43682
0.689573;11.3941;17.2687;16.2006;0.689573;4.61556;4.74717;5.97694;0.689573;3.14118;2.8627;3.20269;0.689573;1.81149;1.91463;2.89274;0.689573;5.16438;6.10712;5.49914
0.699573;10.4356;16.6345;15.328;0.699573;4.64227;4.80058;6.06325;0.699573;3.3877;3.01243;3.4969;0.699573;2.04471;2.15991;3.16121;0.699573;6.42278;7.52047;6.70841
0.709573;9.73468;16.2244;14.7892;0.709573;4.80201;4.96842;6.32885;0.709573;3.71672;3.23559;3.86311;0.709573;2.33763;2.46886;3.53171;0.709573;8.05548;9.45453;8.40024
0.719573;9.18632;16.0242;14.4983;0.719573;5.02803;5.22067;6.78422;0.719573;4.16018;3.56843;4.43198;0.719573;2.69955;2.85309;4.00044;0.719573;10.1359;11.9217;10.5398
0.729573;8.89544;16.0575;14.4697;0.729573;5.44192;5.667;7.46086;0.729573;4.74908;4.00378;5.13246;0.729573;3.16199;3.34362;4.62081;0.729573;12.6989;14.962;13.3393
0.739573;8.86683;16.3055;14.7272;0.739573;5.99458;6.50718;8.43791;0.739573;5.57162;4.65228;6.18341;0.739573;3.76872;4.00139;5.49819;0.739573;15.7169;18.597;16.6114
0.749573;9.08618;16.8157;15.409;0.749573;6.92823;7.30732;9.72871;0.749573;6.69029;5.49962;7.48804;0.749573;4.54547;4.8392;6.67884;0.749573;19.0857;22.704;20.4342
0.759573;9.57732;17.5405;16.1911;0.759573;8.04785;8.58716;11.3652;0.759573;8.18327;6.65691;9.29764;0.759573;5.57782;5.96693;8.11699;0.759573;22.8661;27.1872;24.7291
0.769573;10.3546;18.5371;17.2878;0.769573;9.75255;10.2957;13.4013;0.769573;10.1164;8.19853;11.3767;0.769573;6.90821;7.44846;10.113;0.769573;26.8754;31.957;29.3149
0.779573;11.437;19.7388;18.7088;0.779573;11.6065;12.3866;15.8661;0.779573;12.522;10.1312;14.1185;0.779573;8.62673;9.36965;12.563;0.779573;31.0606;36.8079;34.0957
0.789495;12.8341;21.2456;20.3539;0.789495;14.0636;15.2023;18.8859;0.789495;15.487;12.4934;17.5107;0.789495;10.8059;11.8301;15.5528;0.789495;35.2463;41.8548;38.957
0.799496;14.4935;23.1529;22.4186;0.799496;17.1245;18.0624;22.2901;0.799496;18.9851;15.3511;20.8987;0.799496;13.4166;14.807;19.0585;0.799496;39.5016;46.6523;43.838
0.809495;16.4819;25.3464;24.7265;0.809495;20.5472;21.5391;26.0619;0.809495;22.8456;18.5993;24.7611;0.809495;16.4002;18.276;22.9119;0.809495;43.6043;51.2387;48.5095
0.819495;18.7994;27.9022;27.4492;0.819495;24.7773;25.2117;30.2662;0.819495;27.1515;22.2028;28.9539;0.819495;19.707;22.198;27.2235;0.819495;47.6083;55.6304;52.9887
0.829495;21.5078;30.6774;30.6107;0.829495;29.0364;29.7912;34.7496;0.829495;31.6943;26.111;33.6031;0.829495;23.1951;26.3618;31.7735;0.829495;51.4819;60.0078;57.5759
0.839496;24.469;33.7197;33.8627;0.839496;33.5769;33.7292;39.2653;0.839496;36.456;30.2433;37.4445;0.839496;26.8649;30.7234;36.508;0.839496;55.2537;64.1897;61.9295
0.849496;27.5303;36.8763;37.5821;0.849496;37.5487;37.8825;44.0576;0.849496;41.0871;34.2931;41.721;0.849496;30.5856;35.2382;41.1166;0.849496;58.8205;68.1665;65.6917
0.859495;30.8014;40.3191;41.4301;0.859495;41.6256;41.9976;48.9022;0.859495;45.8791;38.6623;46.0793;0.859495;34.3255;39.7762;45.8416;0.859495;61.9962;71.8859;69.2823
0.869495;34.3396;44.0003;45.3355;0.869495;45.1591;46.108;53.6706;0.869495;50.738;42.8893;50.2612;0.869495;38.0172;44.2218;50.4853;0.869495;65.1433;75.0711;72.0098
0.879496;37.7728;47.672;49.4792;0.879496;48.3968;50.1372;58.1958;0.879496;55.3777;47.2142;54.3525;0.879496;41.6021;48.6686;55.206;0.879496;68.095;78.285;75.0378
0.889496;41.1965;51.3246;53.5323;0.889496;52.1161;53.8756;62.2013;0.889496;59.4785;51.3436;58.3723;0.889496;45.1068;53.0316;59.4738;0.889496;70.422;81.8518;77.1597
0.899496;44.687;55.33;57.4758;0.899496;55.4397;57.4424;66.5786;0.899496;63.0596;54.6863;62.454;0.899496;48.3396;57.3518;63.689;0.899496;71.7142;82.8103;79.0289
